Date         Transaction ID     Item Name                                Item ID                                        Variant   Purchases      Revenue
--------------------------------------------------------------------------------------------------------------------------------------------------------
2026-07-16   6636275138699      Catia Skirt - Rainbow Check              shopify_AU_7957185822859_44384282476683        XL                1       169.00
2026-07-16   6636915556491      Marisol Mini Dress - Rainbow Check       shopify_AU_7976632680587_44445289119883        M                 1       169.00
2026-07-16   6636936921227      Coco Top - Gelato Stripe                 shopify_AU_8095252971659_46037232910475        L                 1        99.00
2026-07-16   6636936921227      Eloise Skirt - Gelato stripe             shopify_AU_8095253135499_46037233205387        L                 1       169.00
2026-07-16   6636936921227      Iris Short - Gelato stripe               shopify_AU_8095251955851_46037226750091        L                 1       119.00
2026-07-16   6636947865739      Evelyn Jacket - Noir Gingham             shopify_AU_8087319838859_45891880714379        XL                1       199.00
2026-07-16   6637024444555      Bella Trench - Bordeaux Check            shopify_AU_8095260246155_46037261156491        XS                1       259.00
2026-07-16   6637137068171      Zelie Jacket - Navy Polka                shopify_AU_7718644809867_43292428894347        S                 1       199.00
2026-07-16   6637148504203      Clea Dress - Pink Polka                  shopify_AU_8034407809163_45049018122379        XS                1       149.00
2026-07-16   6637194838155      Elvira Dress - Lapis Stripe              shopify_AU_8087231987851_45888148177035        M                 1       219.00
2026-07-16   6637196705931      Phoebe Dress - Aegan Stripe              shopify_AU_8028923592843_45024022528139        S                 1       219.00
2026-07-15   6612489994379      Cecile Dress - Chene Stripe              shopify_AU_7718629081227_43292200697995        XS                1       164.85
2026-07-15   6634413392011      Olea Knit Cardi - Moss                   shopify_AU_8079975579787_45560190206091        XL                1       139.00
2026-07-15   6634525556875      Cecile Dress - Chene Stripe              shopify_AU_7718629081227_43292200763531        M                 1       199.15
2026-07-15   6635068489867      Hanne Coat - Citron Check                shopify_AU_8079982592139_45560627331211        M                 1       259.00
2026-07-15   6635124031627      Phoebe Dress - Aegan Stripe              shopify_AU_8028923592843_45024022560907        M                 1       219.00
2026-07-15   6635139039371      Marisol Mini Dress - Antoine Blue        shopify_AU_7865910231179_43691655889035        S                 1        59.00
2026-07-15   6635306156171      Zelie Jacket - Navy Polka                shopify_AU_7718644809867_43292428894347        S                 1       199.00
2026-07-15   6635374772363      Gabrielle Dress - Gelato stripe          shopify_AU_8095252545675_46037228650635        M                 1       219.00
2026-07-15   6635423006859      Cecile Dress - Chene Stripe              shopify_AU_7718629081227_43292200730763        S                 1       159.00
